City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,-7.31,95,90,1.58,RU,1698088937
1,ust-nera,64.5667,143.2,-14.55,95,90,2.56,RU,1698088937
2,albany,42.6001,-73.9662,14.46,56,10,0.89,US,1698088937
3,quellon,-43.1167,-73.6167,13.43,69,9,4.06,CL,1698088937
4,san patricio,28.017,-97.5169,30.97,52,46,9.24,US,1698088938
5,badger,64.8,-147.5333,-4.07,86,75,2.06,US,1698088938
6,qal'ah-ye shahr,35.5473,65.5676,5.67,74,0,1.34,AF,1698088938
7,saipan,15.1355,145.701,28.39,78,20,6.69,MP,1698088938
8,selfoss,63.9331,-20.9971,1.14,68,8,1.85,IS,1698088938
9,puerto ayora,-0.7393,-90.3518,30.98,87,54,4.02,EC,1698088939
10,college,64.8569,-147.8028,-4.03,86,75,2.06,US,1698088939
11,iqaluit,63.7506,-68.5145,-0.15,74,100,9.26,CA,1698088939
12,waitangi,-43.9535,-176.5597,10.46,76,11,0.45,NZ,1698088939
13,ola,59.5833,151.2833,-3.25,77,34,3.89,RU,1698088939
14,turpan,42.9333,89.1667,17.08,24,99,1.58,CN,1698088939
15,luderitz,-26.6481,15.1594,15.98,93,35,6.25,NA,1698088940
16,polyarnyy,69.1989,33.4478,0.95,78,98,4.32,RU,1698088940
17,kone,-21.0595,164.8658,21.7,82,83,2.22,NC,1698088940
18,margaret river,-33.95,115.0667,7.9,81,7,4.18,AU,1698088853
19,wailua homesteads,22.0669,-159.378,25.44,86,40,5.66,US,1698088940
20,novaya igirma,57.1334,103.9112,4.7,88,100,3.7,RU,1698088940
21,east london,-33.0153,27.9116,18.03,84,5,3.71,ZA,1698088940
22,vilyuysk,63.7553,121.6247,-6.34,97,96,0.58,RU,1698088940
23,udachny,66.4167,112.4,-13.69,99,97,1.44,RU,1698088941
24,topolobampo,25.6,-109.05,27.95,69,40,6.17,MX,1698088941
25,puerto natales,-51.7236,-72.4875,16.25,39,0,5.14,CL,1698088941
26,lower sackville,44.7733,-63.6885,10.89,70,75,8.23,CA,1698088941
27,vilyuchinsk,52.9306,158.4028,-3.85,75,32,3.29,RU,1698088941
28,adamstown,-25.066,-130.1015,22.84,78,100,4.31,PN,1698088941
29,blackmans bay,-43.0167,147.3167,9.18,93,98,0.45,AU,1698088942
30,lyubymivka,46.8106,33.5686,16.08,55,84,3.61,UA,1698088942
31,edinburgh of the seven seas,-37.0676,-12.3116,13.05,76,41,4.5,SH,1698088942
32,invercargill,-46.4,168.35,11.12,88,100,1.34,NZ,1698088942
33,georgetown,5.4112,100.3354,27.19,92,20,1.54,MY,1698088887
34,kidal,18.4411,1.4078,32.62,10,7,3.74,ML,1698088942
35,port-aux-francais,-49.35,70.2167,2.1,66,30,13.26,TF,1698088942
36,grytviken,-54.2811,-36.5092,-3.77,61,16,5.5,GS,1698088943
37,hamilton,39.1834,-84.5333,20.43,45,0,2.57,US,1698088867
38,beloyarskiy,63.7119,66.6722,-1.01,76,100,4.01,RU,1698088943
39,klyuchi,52.2667,79.1667,0.55,62,46,5.94,RU,1698088943
40,pedregal,8.3667,-82.4333,30.05,71,40,5.14,PA,1698088943
41,kodiak,57.79,-152.4072,1.73,69,0,0.0,US,1698088943
42,malvan,16.0667,73.4667,26.0,71,6,2.26,IN,1698088943
43,misawa,40.6836,141.3597,8.66,74,97,2.51,JP,1698088943
44,suhbaatar,50.2314,106.2078,4.57,69,10,3.03,MN,1698088944
45,nova sintra,14.8667,-24.7167,23.89,74,8,5.54,CV,1698088944
46,kingston,17.997,-76.7936,33.53,67,40,4.12,JM,1698088657
47,kosciusko,33.0576,-89.5876,29.79,27,91,1.98,US,1698088944
48,whitehorse,60.7161,-135.0538,-8.57,61,75,3.6,CA,1698088944
49,isafjordur,66.0755,-23.124,2.94,75,13,1.27,IS,1698088821
50,bethel,41.3712,-73.414,16.78,57,0,4.63,US,1698088944
51,rio grande,-32.035,-52.0986,23.06,93,100,2.36,BR,1698088945
52,port alfred,-33.5906,26.891,18.34,85,26,2.09,ZA,1698088945
53,coquimbo,-29.9533,-71.3436,20.85,52,0,5.66,CL,1698088945
54,dickson,36.077,-87.3878,26.09,33,0,2.57,US,1698088801
55,miguel calmon,-11.4289,-40.595,31.41,35,75,4.58,BR,1698088945
56,thompson,55.7435,-97.8558,-0.91,47,40,5.66,CA,1698088912
57,nar'yan-mar,67.6713,53.087,-5.43,85,30,3.96,RU,1698088945
58,siwa oasis,29.2041,25.5195,25.29,34,0,2.2,EG,1698088945
59,turbat,26.0023,63.044,27.76,58,2,1.89,PK,1698088946
60,mount pearl,47.5166,-52.7813,7.3,92,100,6.69,CA,1698088946
61,st. john's,47.5649,-52.7093,7.76,92,100,4.92,CA,1698088839
62,vernon,50.2581,-119.2691,14.78,64,100,1.03,CA,1698088811
63,itoman,26.1247,127.6694,26.21,69,99,3.6,JP,1698088946
64,punta arenas,-53.15,-70.9167,17.06,31,0,10.8,CL,1698088815
65,ilulissat,69.2167,-51.1,-2.99,80,75,1.54,GL,1698088946
66,villa regina,-39.1,-67.0667,13.88,42,100,0.45,AR,1698088946
67,anadyr,64.75,177.4833,1.28,100,75,2.0,RU,1698088947
68,tucupita,9.0622,-62.051,31.8,56,97,1.06,VE,1698088947
69,mutuali,-14.8706,37.0044,28.16,36,96,1.43,MZ,1698088947
70,port hedland,-20.3167,118.5667,23.03,94,0,3.6,AU,1698088759
71,gunnison,38.7,-107.0673,15.5,21,1,3.72,US,1698088947
72,vengerovo,55.6848,76.7471,-1.68,83,96,6.46,RU,1698088947
73,phrae,18.0833,100.0,20.68,97,41,0.51,TH,1698088947
74,kamyaran,34.7956,46.9355,13.31,47,0,0.92,IR,1698088948
75,hermanus,-34.4187,19.2345,15.32,88,0,6.31,ZA,1698088948
76,olonkinbyen,70.9221,-8.7187,3.45,88,100,4.34,SJ,1698088948
77,kailua-kona,19.6406,-155.9956,28.98,71,75,6.17,US,1698088948
78,katsuura,35.1333,140.3,16.45,77,5,2.94,JP,1698088948
79,hampton bays,40.869,-72.5176,17.22,63,0,3.6,US,1698088949
80,tucuma,-0.1833,-50.05,31.74,54,23,5.36,BR,1698088866
81,callao,-12.0667,-77.15,21.16,78,75,3.6,PE,1698088949
82,kodinsk,58.6881,99.1844,4.14,80,100,7.8,RU,1698088949
